Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000138061,CYP1B1,Gene Expression,0.2896522776023231,0.0,0.0,1451,0.4050399092782199,1047
ENSG00000203485,INF2,Gene Expression,0.2895753867833103,0.0,0.0,16043,3.1201407469125964,5447
ENSG00000004487,KDM1A,Gene Expression,0.28940204538159603,0.0,0.0,44215,6.728498889926745,5890
ENSG00000023228,NDUFS1,Gene Expression,0.28938080111908243,0.0,0.0,64705,9.842204203524618,5992
ENSG00000205403,CFI,Gene Expression,0.2893381666956576,0.0,0.0,2287,0.5644784610457022,1601
ENSG00000144802,NFKBIZ,Gene Expression,0.2893308744740167,0.0,0.0,60296,9.795830340921173,6062
ENSG00000105854,PON2,Gene Expression,0.28921657984651994,0.0,0.0,60547,9.285464861953947,5998
ENSG00000121769,FABP3,Gene Expression,0.28905122022608043,0.0,0.0,1251,0.37732973610717363,947
ENSG00000180448,ARHGAP45,Gene Expression,0.2890238819718496,0.0,0.0,2694,0.7200912717036233,1916
ENSG00000167037,SGSM1,Gene Expression,0.28901239470934786,0.0,0.0,29740,4.5582767436909055,5691
ENSG00000150347,ARID5B,Gene Expression,0.28896176071466767,0.0,0.0,66987,11.507314961647973,6144
ENSG00000109670,FBXW7,Gene Expression,0.28886083648881417,0.0,0.0,103465,16.084025393556622,6106
ENSG00000162337,LRP5,Gene Expression,0.28883693471649174,0.0,0.0,4147,0.9203098665253355,2770
ENSG00000141524,TMC6,Gene Expression,0.28878382966426946,0.0,0.0,1900,0.5224655287211014,1372
ENSG00000121039,RDH10,Gene Expression,0.28840416606468927,0.0,0.0,38245,6.016273327915796,5863
ENSG00000122122,SASH3,Gene Expression,0.2881924579038382,0.0,0.0,1201,0.3449448086856475,898
ENSG00000114023,FAM162A,Gene Expression,0.28817808847079035,0.0,0.0,62313,9.477923150006784,5982
ENSG00000166949,SMAD3,Gene Expression,0.2880863420638923,0.0,0.0,14285,2.737166124137858,5188
ENSG00000111775,COX6A1,Gene Expression,0.2880209031153879,0.0,0.0,80010,12.141027557044474,6042
ENSG00000061676,NCKAP1,Gene Expression,0.28766351144181257,0.0,0.0,91573,14.255119616836337,6072
ENSG00000047457,CP,Gene Expression,0.2872991216463403,0.0,0.0,1437,0.38292680117703226,1044
ENSG00000114790,ARHGEF26,Gene Expression,0.28704403696790587,0.0,0.0,5168,1.1339163722841437,3197
ENSG00000172594,SMPDL3A,Gene Expression,0.2870370174059565,0.0,0.0,27929,4.244537886506607,5675
ENSG00000122694,GLIPR2,Gene Expression,0.2867859713657729,0.0,0.0,2821,0.7227699372617591,1945
ENSG00000170962,PDGFD,Gene Expression,0.28671304369853345,0.0,0.0,5161,1.1495956398362328,3188
ENSG00000164144,ARFIP1,Gene Expression,0.2866519819196832,0.0,0.0,46962,7.228466605843818,5921
ENSG00000106078,COBL,Gene Expression,0.28627697732742147,0.0,0.0,26463,4.030592811416011,5658
ENSG00000187391,MAGI2,Gene Expression,0.2862745483480495,0.0,0.0,30458,4.66852154135921,5726
ENSG00000006042,TMEM98,Gene Expression,0.2862478825762741,0.0,0.0,2604,0.6103780583002241,1881
ENSG00000134970,TMED7,Gene Expression,0.2859919786332377,0.0,0.0,138438,21.51729693350128,6124
ENSG00000150394,CDH8,Gene Expression,0.28597829180953854,0.0,0.0,21116,3.061074223560161,5332
ENSG00000158856,DMTN,Gene Expression,0.28557736620744817,0.0,0.0,52658,7.970488915724355,5936
ENSG00000113083,LOX,Gene Expression,0.28550521579964233,0.0,0.0,5011,1.115892907466672,3012
ENSG00000008394,MGST1,Gene Expression,0.2852561252790737,0.0,0.0,2070,0.46409040540773344,1347
ENSG00000169418,NPR1,Gene Expression,0.28508871450920953,0.0,0.0,11990,2.235558393733919,4738
ENSG00000112695,COX7A2,Gene Expression,0.2849322285760171,0.0,0.0,50652,7.664758291477091,5928
ENSG00000197879,MYO1C,Gene Expression,0.2849288848449259,0.0,0.0,16592,3.124652590324627,5449
ENSG00000112096,SOD2,Gene Expression,0.2849177242554443,0.0,0.0,88892,15.043491787313748,6163
ENSG00000131174,COX7B,Gene Expression,0.2848524175931803,0.0,0.0,36975,5.684332133806635,5838
ENSG00000111885,MAN1A1,Gene Expression,0.2848484664195866,0.0,0.0,7553,1.5307358276774297,3810
ENSG00000172292,CERS6,Gene Expression,0.2848418286938227,0.0,0.0,46685,7.170683135506636,5917
ENSG00000197586,ENTPD6,Gene Expression,0.28478293566544344,0.0,0.0,65026,10.0251152769857,6000
ENSG00000136383,ALPK3,Gene Expression,0.2847614120910103,0.0,0.0,108604,17.022589970273703,6087
ENSG00000189157,FAM47E,Gene Expression,0.2847037241580566,0.0,0.0,19287,2.930491445469963,5386
ENSG00000154079,SDHAF4,Gene Expression,0.2845478483328774,0.0,0.0,38408,5.8377268952329375,5823
ENSG00000040341,STAU2,Gene Expression,0.28440061552206836,0.0,0.0,123564,19.05425815848921,6122
ENSG00000101350,KIF3B,Gene Expression,0.2842754366279116,0.0,0.0,50919,7.726936059547666,5926
ENSG00000167695,TLCD3A,Gene Expression,0.2842734043505065,0.0,0.0,32516,4.920585147610592,5756
ENSG00000198695,MT-ND6,Gene Expression,0.28421197147754257,0.0,0.0,312367,50.16825729189502,6188
ENSG00000087074,PPP1R15A,Gene Expression,0.28400522311623955,0.0,0.0,6413,1.3762694289920103,3658
ENSG00000126709,IFI6,Gene Expression,0.2836597288453388,0.0,0.0,119012,18.573478640122055,6149
ENSG00000108406,DHX40,Gene Expression,0.2835542079968513,0.0,0.0,50997,7.886476141664428,5944
ENSG00000153561,RMND5A,Gene Expression,0.2834512180464749,0.0,0.0,40363,6.2665863346461705,5886
ENSG00000204442,FAM155A,Gene Expression,0.28338862035726003,0.0,0.0,19897,3.011893884016243,5407
ENSG00000105402,NAPA,Gene Expression,0.28319606212129117,0.0,0.0,117071,17.709540588750155,6100
ENSG00000163743,RCHY1,Gene Expression,0.28316998687575984,0.0,0.0,32871,5.084932087758059,5797
ENSG00000162961,DPY30,Gene Expression,0.2831688231971446,0.0,0.0,48633,7.46354335584178,5925
ENSG00000143772,ITPKB,Gene Expression,0.2830991565480097,0.0,0.0,3844,0.9226945276696766,2550
ENSG00000170801,HTRA3,Gene Expression,0.2830909833686083,0.0,0.0,2837,0.7380992011674522,1872
ENSG00000114520,SNX4,Gene Expression,0.2830482200573358,0.0,0.0,47597,7.369020087251934,5935
ENSG00000111962,UST,Gene Expression,0.2829625841971533,0.0,0.0,520,0.1883066202203024,425
ENSG00000063046,EIF4B,Gene Expression,0.28282630914110474,0.0,0.0,68091,10.58346986000779,6037
ENSG00000105223,PLD3,Gene Expression,0.2824939422569467,0.0,0.0,196034,30.03595785619333,6150
ENSG00000121068,TBX2,Gene Expression,0.2824872447044184,0.0,0.0,4788,1.0209074653253873,2825
ENSG00000118640,VAMP8,Gene Expression,0.28243326779499334,0.0,0.0,9069,1.882941657877811,4247
ENSG00000170632,ARMC10,Gene Expression,0.28231761183881465,0.0,0.0,27168,4.250292756173217,5710
ENSG00000069535,MAOB,Gene Expression,0.28214737755104147,0.0,0.0,37813,5.958646818174041,5900
ENSG00000203778,FAM229B,Gene Expression,0.28201778695982604,0.0,0.0,32513,4.87573103826837,5743
ENSG00000178502,KLHL11,Gene Expression,0.2820017365858562,0.0,0.0,24444,3.7220192339140548,5573
ENSG00000082781,ITGB5,Gene Expression,0.28159304698391296,0.0,0.0,23537,4.399556622109791,5823
ENSG00000140368,PSTPIP1,Gene Expression,0.28153511102275175,0.0,0.0,1000,0.3143302934115913,756
ENSG00000167632,TRAPPC9,Gene Expression,0.2814628034107774,0.0,0.0,66035,10.165220756059833,6011
ENSG00000253313,C1orf210,Gene Expression,0.2814003512967174,0.0,0.0,23253,3.4394556688252695,5466
ENSG00000103365,GGA2,Gene Expression,0.2813254090097319,0.0,0.0,123633,19.0895344445289,6123
ENSG00000106546,AHR,Gene Expression,0.28110362283936857,0.0,0.0,24474,4.663016688330338,5842
ENSG00000089818,NECAP1,Gene Expression,0.2810865590991999,0.0,0.0,43323,6.629877569123183,5892
ENSG00000163840,DTX3L,Gene Expression,0.2809993611650056,0.0,0.0,38480,5.967735072938552,5845
ENSG00000081479,LRP2,Gene Expression,0.2809400584030011,0.0,0.0,22003,3.381130563050382,5510
ENSG00000109163,GNRHR,Gene Expression,0.2808166430785009,0.0,0.0,2414,0.3277380938835479,1137
ENSG00000108639,SYNGR2,Gene Expression,0.2807665776563757,0.0,0.0,34398,6.02014769346491,6048
ENSG00000054967,RELT,Gene Expression,0.28066564487502976,0.0,0.0,1728,0.468137419742722,1297
ENSG00000128340,RAC2,Gene Expression,0.2804849825359917,0.0,0.0,2119,0.5574656598095867,1505
ENSG00000100599,RIN3,Gene Expression,0.28046427025769977,0.0,0.0,4268,0.9884977296784127,2776
ENSG00000109270,LAMTOR3,Gene Expression,0.2803204854883872,0.0,0.0,30527,4.692994920463933,5750
ENSG00000140968,IRF8,Gene Expression,0.2802319973029105,0.0,0.0,1928,0.5184593026124155,1368
ENSG00000100075,SLC25A1,Gene Expression,0.27977296930551165,0.0,0.0,49742,7.513141751860785,5922
ENSG00000166454,ATMIN,Gene Expression,0.27962311141286006,0.0,0.0,27847,4.33100488358958,5704
ENSG00000172243,CLEC7A,Gene Expression,0.2796122236761947,0.0,0.0,2732,0.7088222574977475,1866
ENSG00000155090,KLF10,Gene Expression,0.27949958783073053,0.0,0.0,30884,5.406150877747565,5929
ENSG00000115919,KYNU,Gene Expression,0.27933899731287404,0.0,0.0,1647,0.45843280687837185,1139
ENSG00000130226,DPP6,Gene Expression,0.2791166006209156,0.0,0.0,3793,0.5460507917679005,1901
ENSG00000147684,NDUFB9,Gene Expression,0.2789388921195744,0.0,0.0,87810,13.392428126367022,6060
ENSG00000101460,MAP1LC3A,Gene Expression,0.2785858598157255,0.0,0.0,63712,9.751337563548011,6004
ENSG00000174600,CMKLR1,Gene Expression,0.2785581656415246,0.0,0.0,2411,0.5961883834416598,1762
ENSG00000263639,MSMB,Gene Expression,0.27851059401382416,0.0,0.0,11199,1.7135585550233832,4470
ENSG00000139874,SSTR1,Gene Expression,0.2783871587239593,0.0,0.0,24563,3.655954815216958,5544
ENSG00000117543,DPH5,Gene Expression,0.2783255542177703,0.0,0.0,28447,4.320751941621714,5692
ENSG00000170315,UBB,Gene Expression,0.2781702839190402,0.0,0.0,108341,16.500298094070484,6126
ENSG00000185565,LSAMP,Gene Expression,0.2781148060116567,0.0,0.0,7126,1.083049708498309,2968
ENSG00000213694,S1PR3,Gene Expression,0.2780596175713621,0.0,0.0,3518,0.8229341348418951,2422
ENSG00000185338,SOCS1,Gene Expression,0.27804918506256826,0.0,0.0,2934,0.640150680608181,2000
ENSG00000171860,C3AR1,Gene Expression,0.27791627308225597,0.0,0.0,2270,0.5586122595259098,1630
ENSG00000183160,TMEM119,Gene Expression,0.27779398512043496,0.0,0.0,1947,0.4675469281067891,1401
ENSG00000183722,LHFPL6,Gene Expression,0.2777484013684076,0.0,0.0,16742,3.2944249705571313,5485
ENSG00000164040,PGRMC2,Gene Expression,0.27773703813715134,0.0,0.0,89124,13.945896466304381,6084
ENSG00000154188,ANGPT1,Gene Expression,0.2777324486068352,0.0,0.0,3447,0.7772388566641548,2343
ENSG00000125844,RRBP1,Gene Expression,0.2776613138885492,0.0,0.0,36757,6.502713291896515,6055
ENSG00000133872,SARAF,Gene Expression,0.277660152929489,0.0,0.0,82754,12.680453414565056,6066
ENSG00000180777,ANKRD30B,Gene Expression,0.277520846375267,0.0,0.0,16830,2.594478993807814,5236
ENSG00000007516,BAIAP3,Gene Expression,0.27750719365833637,0.0,0.0,4439,0.646556959277907,2162
ENSG00000105371,ICAM4,Gene Expression,0.2774873842817465,0.0,0.0,921,0.25413437577457987,759
ENSG00000105220,GPI,Gene Expression,0.27742487444649605,0.0,0.0,57741,8.65359843746117,5985
ENSG00000133874,RNF122,Gene Expression,0.2774216161790126,0.0,0.0,2538,0.6378073331539416,1842
ENSG00000211898,IGHD,Gene Expression,0.27740607062144484,0.0,0.0,1733,0.4319155567992792,746
ENSG00000144834,TAGLN3,Gene Expression,0.2773632026445247,0.0,0.0,17258,2.5465183484809373,5228
ENSG00000100365,NCF4,Gene Expression,0.2773179946445189,0.0,0.0,1991,0.5418536453126015,1480
ENSG00000108641,B9D1,Gene Expression,0.2772775793423607,0.0,0.0,36253,5.515105805314299,5813
ENSG00000100359,SGSM3,Gene Expression,0.27702047551273007,0.0,0.0,68793,10.627414399383373,6023
ENSG00000184730,APOBR,Gene Expression,0.2770012148160997,0.0,0.0,1831,0.4952812210318611,1274
ENSG00000106554,CHCHD3,Gene Expression,0.27690614977045264,0.0,0.0,31087,4.804930914444058,5774
ENSG00000100403,ZC3H7B,Gene Expression,0.27688331715439585,0.0,0.0,62504,9.671365764312164,5989
ENSG00000129518,EAPP,Gene Expression,0.2767464231516894,0.0,0.0,46969,7.2872377983212475,5933
ENSG00000150093,ITGB1,Gene Expression,0.276491183580235,0.0,0.0,63498,10.984026251683874,6132
ENSG00000122126,OCRL,Gene Expression,0.27644991739110486,0.0,0.0,40421,6.159410810563017,5859
ENSG00000099331,MYO9B,Gene Expression,0.27641882118735933,0.0,0.0,12868,2.547971175686088,5135
ENSG00000170381,SEMA3E,Gene Expression,0.27641602226546685,0.0,0.0,19800,2.9434607427803856,5336
ENSG00000108679,LGALS3BP,Gene Expression,0.27603318955024875,0.0,0.0,217024,33.01460841700571,6173
ENSG00000135821,GLUL,Gene Expression,0.2759751006059734,0.0,0.0,129460,21.23282791157745,6147
ENSG00000110848,CD69,Gene Expression,0.2759612105342491,0.0,0.0,1274,0.3794144621628656,931
ENSG00000197969,VPS13A,Gene Expression,0.2759180989570503,0.0,0.0,51625,8.076627383579133,5958
ENSG00000271824,SMIM32,Gene Expression,0.27589731449290683,0.0,0.0,20465,3.0596359931233894,5293
ENSG00000131042,LILRB2,Gene Expression,0.2758573464552909,0.0,0.0,2403,0.6266097290330146,1736
ENSG00000069345,DNAJA2,Gene Expression,0.2758572806191964,0.0,0.0,91491,14.161491963250798,6086
